Name,Users Rating,Type,Address,Zip Code,# Inspections,Last Inspection,Score
EUGENE CROSIER MEMORIAL D/C,"Average ""EUGENE CROSIER MEMORIAL D/C"" Rating: n/a",Child Care Kitchen,5201 Wellesley Ave,76107,4,11/18/2015,97
EUREST,"Average ""EUREST"" Rating: n/a",Restaurant,5401 N Beach St,76137,6,02/08/2016,100
EUREST DINING,"Average ""EUREST DINING"" Rating: n/a",Restaurant,4700 Marine Creek Pkwy,76179,2,09/29/2015,100
EUREST DINING SVCS@ BELL HELICOPTE,"Average ""EUREST DINING SVCS@ BELL HELICOPTE"" Rating: n/a",Restaurant,600 E Hurst Blvd,76053,10,02/04/2016,75
EUROCATER,"Average ""EUROCATER"" Rating: n/a",Restaurant,1316 Pennsylvania Ave,76104,4,11/19/2015,97
EUROINDO MIDEAST MARKET,"Average ""EUROINDO MIDEAST MARKET"" Rating: n/a",Grocery Store -- Retail,5340 Trail Lake Dr,76133,9,09/14/2015,100
EVAS MEXICAN FOOD,"Average ""EVAS MEXICAN FOOD"" Rating: n/a",Restaurant,3401 N Main St,76106,6,02/01/2016,86
EVERMAN MARKET AND PIZZA KING,"Average ""EVERMAN MARKET AND PIZZA KING"" Rating: n/a",Grocery Store -- Retail,8000 Wichita St,76140,2,10/29/2015,100
EVERMAN SHELL,"Average ""EVERMAN SHELL"" Rating: n/a",Grocery Store -- Retail,8654 South Freeway,76134,7,10/08/2015,84
EXXON TIGER MART #62,"Average ""EXXON TIGER MART #62"" Rating: n/a",Grocery Store -- Retail,10145 West Freeway,76108,2,09/29/2015,93
EZ SHOP DHILLON,"Average ""EZ SHOP DHILLON"" Rating: n/a",Grocery Store -- Retail,1300 N Sylvania Ave,76111,1,01/12/2015,80
FAA FOOD MART,"Average ""FAA FOOD MART"" Rating: n/a",Grocery Store -- Retail,15151 Faa Blvd,76155,1,07/30/2015,100
FAIRFIELD INN AND SUITES,"Average ""FAIRFIELD INN AND SUITES"" Rating: n/a",Snack Bar,6851 West Fwy,76116,2,01/31/2015,90
FAIRFIELD INN FOSSIL CREEK,"Average ""FAIRFIELD INN FOSSIL CREEK"" Rating: n/a",Snack Bar,3701 Ne Loop 820,76137,3,06/27/2015,88
FAMILY DOLLAR # 8133,"Average ""FAMILY DOLLAR # 8133"" Rating: n/a",Grocery Store -- Retail,5425 E Lancaster Ave,76112,2,01/22/2016,90
FAMILY DOLLAR #10613,"Average ""FAMILY DOLLAR #10613"" Rating: n/a",Grocery Store -- Retail,4108 Martin St,76119,2,06/13/2015,100
FAMILY DOLLAR #11009,"Average ""FAMILY DOLLAR #11009"" Rating: n/a",Grocery Store -- Retail,7341 John T White Rd,76120,1,10/08/2015,100
FAMILY DOLLAR #8326,"Average ""FAMILY DOLLAR #8326"" Rating: n/a",Snack Bar,8513 Mccart Ave,76123,2,09/14/2015,97
FAMILY DOLLAR #8421,"Average ""FAMILY DOLLAR #8421"" Rating: n/a",Grocery Store -- Retail,1810 W Berry St,76110,2,09/22/2015,92
FAMILY DOLLAR STORE #10419,"Average ""FAMILY DOLLAR STORE #10419"" Rating: n/a",Grocery Store -- Retail,5036 Trail Lake Dr,76133,2,06/24/2015,100
FAMILY DOLLAR STORES #11204,"Average ""FAMILY DOLLAR STORES #11204"" Rating: n/a",Grocery Store -- Retail,4708 Benbrook Hwy,76116,1,01/07/2016,100
FAMILY DOLLAR STORES #1653,"Average ""FAMILY DOLLAR STORES #1653"" Rating: n/a",Grocery Store -- Retail,2005 N Main St,76106,2,08/01/2015,93
FAMILY DOLLAR STORES #1767,"Average ""FAMILY DOLLAR STORES #1767"" Rating: n/a",Grocery Store -- Retail,3033 South Freeway,76104,2,08/16/2015,96
FAMILY DOLLAR STORES #1854,"Average ""FAMILY DOLLAR STORES #1854"" Rating: 3.8",Grocery Store -- Retail,504 W Rosedale St,76104,2,07/29/2015,90
FAMILY DOLLAR STORES #1995,"Average ""FAMILY DOLLAR STORES #1995"" Rating: n/a",Grocery Store -- Retail,2000 N Riverside Dr,76111,1,02/25/2015,100
FAMILY DOLLAR STORES #2282,"Average ""FAMILY DOLLAR STORES #2282"" Rating: n/a",Grocery Store -- Retail,5203 Mccart Ave,76115,2,07/01/2015,100
FAMILY DOLLAR STORES #2416,"Average ""FAMILY DOLLAR STORES #2416"" Rating: n/a",Grocery Store -- Retail,6617 Meadowbrook Dr,76112,2,08/10/2015,100
FAMILY DOLLAR STORES #3641,"Average ""FAMILY DOLLAR STORES #3641"" Rating: n/a",Grocery Store -- Retail,3204 N Main St,76106,2,06/06/2015,100
FAMILY DOLLAR STORES #4285,"Average ""FAMILY DOLLAR STORES #4285"" Rating: n/a",Grocery Store -- Retail,6677 Mccart Ave,76133,2,09/11/2015,92
FAMILY DOLLAR STORES #4688,"Average ""FAMILY DOLLAR STORES #4688"" Rating: n/a",Grocery Store -- Retail,2710 W Seminary Dr,76133,2,09/24/2015,93
FAMILY DOLLAR STORES #5109,"Average ""FAMILY DOLLAR STORES #5109"" Rating: n/a",Grocery Store -- Retail,4840 South Freeway,76115,2,08/30/2015,97
FAMILY DOLLAR STORES #5504,"Average ""FAMILY DOLLAR STORES #5504"" Rating: n/a",Grocery Store -- Retail,3860 Miller Ave,76119,2,12/30/2015,93
FAMILY DOLLAR STORES #5508,"Average ""FAMILY DOLLAR STORES #5508"" Rating: n/a",Grocery Store -- Retail,2100 Ephriham Ave,76106,2,09/24/2015,90
FAMILY DOLLAR STORES #5522,"Average ""FAMILY DOLLAR STORES #5522"" Rating: n/a",Grocery Store -- Retail,2610 Hemphill St,76110,3,02/10/2016,97
FAMILY DOLLAR STORES #5915,"Average ""FAMILY DOLLAR STORES #5915"" Rating: n/a",Grocery Store -- Retail,6156 Ramey Ave,76112,3,02/11/2016,100
FAMILY DOLLAR STORES #6051,"Average ""FAMILY DOLLAR STORES #6051"" Rating: n/a",Grocery Store -- Retail,5250 W Vickery Blvd,76107,2,07/25/2015,93
FAMILY DOLLAR STORES #6283,"Average ""FAMILY DOLLAR STORES #6283"" Rating: n/a",Grocery Store -- Retail,3101 Wilbarger St,76119,1,04/30/2015,100
FAMILY DOLLAR STORES #6556,"Average ""FAMILY DOLLAR STORES #6556"" Rating: n/a",Grocery Store -- Retail,901 Bridgewood Dr,76112,3,01/23/2016,100
FAMILY DOLLAR STORES #6560,"Average ""FAMILY DOLLAR STORES #6560"" Rating: n/a",Grocery Store -- Retail,1700 Sycamore School Rd,76134,2,01/24/2016,96
FAMILY DOLLAR STORES #7154,"Average ""FAMILY DOLLAR STORES #7154"" Rating: n/a",Grocery Store -- Retail,4350 Western Center Blvd,76137,2,11/30/2015,100
FAMILY DOLLAR STORES #7232,"Average ""FAMILY DOLLAR STORES #7232"" Rating: n/a",Grocery Store -- Retail,5312 Brentwood Stair Rd,76112,2,09/14/2015,97
FAMOUS CAJUN GRILL,"Average ""FAMOUS CAJUN GRILL"" Rating: n/a",Restaurant,2534 Green Oaks Rd,76116,3,06/20/2015,84
FAMOUS FOOD STORE,"Average ""FAMOUS FOOD STORE"" Rating: n/a",Grocery Store -- Retail,2601 Hemphill St,76110,2,04/16/2015,97
FAMOUS GEORGES CAFE,"Average ""FAMOUS GEORGES CAFE"" Rating: n/a",Restaurant,3789 N Beach St,76137,3,10/07/2015,77
FAMOUS POTATOES,"Average ""FAMOUS POTATOES"" Rating: 4.5",Snack Bar,5701 Crowley Rd,76134,1,09/09/2015,100
FAST STOP GROCERY,"Average ""FAST STOP GROCERY"" Rating: n/a",Grocery Store -- Retail,1900 Ne 33rd St,76106,1,01/05/2016,97
FASTACO HULEN,"Average ""FASTACO HULEN"" Rating: n/a",Restaurant,4800 S Hulen St,76132,3,07/11/2015,90
FAT CAT EXPRESS,"Average ""FAT CAT EXPRESS"" Rating: n/a",Grocery Store -- Retail,4821 South Freeway,76115,2,04/06/2015,96
FATS BILLIARDS,"Average ""FATS BILLIARDS"" Rating: n/a",Lounge,12701 Saginaw Blvd,76179,2,09/08/2015,94
FEASTIVITIES,"Average ""FEASTIVITIES"" Rating: n/a",Restaurant,3637 W Vickery Blvd,76107,4,09/22/2015,89
FIESTA #76,"Average ""FIESTA #76"" Rating: n/a",Grocery Store -- Retail,4245 E Berry St,76105,20,11/12/2015,84
FIESTA FOOD MART #46,"Average ""FIESTA FOOD MART #46"" Rating: n/a",Restaurant,275 Ne 28th St,76164,18,12/11/2015,83
FIESTA GROCERY,"Average ""FIESTA GROCERY"" Rating: n/a",Grocery Store -- Retail,1000 W Berry St,76110,2,09/16/2015,89
FIESTA MART #61,"Average ""FIESTA MART #61"" Rating: n/a",Bakery -- Retail,2700 8th Ave,76110,16,01/13/2016,89
FIESTA MART INC,"Average ""FIESTA MART INC"" Rating: n/a",Grocery Store -- Retail,421 W Bolt St,76110,19,12/04/2015,88
FIESTA MART#69,"Average ""FIESTA MART#69"" Rating: n/a",Meat Market -- Retail,7809 Camp Bowie West Blvd,76116,9,12/22/2015,77
FIESTA MEXICAN FOOD,"Average ""FIESTA MEXICAN FOOD"" Rating: n/a",Restaurant,3233 Hemphill St,76110,6,01/15/2016,74
FILTHY MC NASTYS SALOON,"Average ""FILTHY MC NASTYS SALOON"" Rating: n/a",Lounge,114 W Exchange Ave,76164,4,05/07/2015,97
FINN MACCOOLS PUB,"Average ""FINN MACCOOLS PUB"" Rating: n/a",Lounge,1700 8th Ave,76110,2,09/23/2015,93
FIREHOUSE SUBS,"Average ""FIREHOUSE SUBS"" Rating: n/a",Restaurant,1600 W Rosedale St,76104,4,01/19/2016,84
FIREHOUSE SUBS,"Average ""FIREHOUSE SUBS"" Rating: n/a",Deli -- Retail,4845 Bryant Irvin Rd,76132,2,12/22/2015,90
FIREHOUSE SUBS,"Average ""FIREHOUSE SUBS"" Rating: n/a",Restaurant,501 Alta Mere Dr,76116,2,09/10/2015,100
FIREHOUSE SUBS,"Average ""FIREHOUSE SUBS"" Rating: n/a",Deli -- Retail,2901 Western Center Blvd,76131,4,01/20/2016,91
FIREHOUSE SUBS,"Average ""FIREHOUSE SUBS"" Rating: n/a",Snack Bar,9180 North Freeway Fwy,76177,2,08/26/2015,94
FIREHOUSE SUBS #455,"Average ""FIREHOUSE SUBS #455"" Rating: n/a",Deli -- Retail,12650 South Freeway,76028,3,07/30/2015,81
FIRST CHRISTIAN CHURCH,"Average ""FIRST CHRISTIAN CHURCH"" Rating: n/a",Restaurant,612 Throckmorton St,76102,2,09/16/2015,97
FIRST CLASS ACADEMY,"Average ""FIRST CLASS ACADEMY"" Rating: n/a",Child Care Kitchen,13620 Trinity Blvd,76040,3,11/19/2015,93
FIRST COMMAND FINANCIAL PLANNING,"Average ""FIRST COMMAND FINANCIAL PLANNING"" Rating: n/a",Grocery Store -- Retail,4100 S Hulen St,76109,2,01/13/2016,96
FIRST DONUT,"Average ""FIRST DONUT"" Rating: n/a",Bakery -- Retail,2740 Western Center Blvd,76131,4,01/10/2016,92
FIRST UNITED METHODIST CHURCH,"Average ""FIRST UNITED METHODIST CHURCH"" Rating: n/a",Restaurant,800 W 5th St,76102,2,10/27/2015,86
FITNESS FARE CAFE,"Average ""FITNESS FARE CAFE"" Rating: n/a",Restaurant,8940 Creek Run Rd,76120,3,11/23/2015,91
FIVE GUYS BURGERS & FRIES,"Average ""FIVE GUYS BURGERS & FRIES"" Rating: n/a",Restaurant,9180 North Freeway,76177,3,11/14/2015,91
FIVE GUYS BURGERS AND FRIES,"Average ""FIVE GUYS BURGERS AND FRIES"" Rating: n/a",Restaurant,313 Houston St,76102,3,08/01/2015,100
FIVE GUYS BURGERS AND FRIES #1130,"Average ""FIVE GUYS BURGERS AND FRIES #1130"" Rating: n/a",Restaurant,4833 S Hulen St,76132,3,12/21/2015,97
FIVE STAR BINGO CONCESSIONS,"Average ""FIVE STAR BINGO CONCESSIONS"" Rating: n/a",Snack Bar,712 W Daggett Ave,76104,2,12/21/2015,97
FIXTURE KITCHEN & SOCIAL LOUNGE,"Average ""FIXTURE KITCHEN & SOCIAL LOUNGE"" Rating: n/a",Restaurant,401 W Magnolia Ave,76104,4,12/09/2015,89
FLIGHT ACADEMY,"Average ""FLIGHT ACADEMY"" Rating: n/a",Restaurant,4601 Hwy 360,76155,2,10/29/2015,77
FLIGHT ON EAGLE MOUNTAIN LAKE,"Average ""FLIGHT ON EAGLE MOUNTAIN LAKE"" Rating: n/a",Restaurant,9307 Boat Club Rd,76179,9,01/04/2016,88
FLIPS PATIO GRILL,"Average ""FLIPS PATIO GRILL"" Rating: n/a",Restaurant,6613 Fossil Bluff Dr,76137,10,02/03/2016,86
FLOSSIE MAES,"Average ""FLOSSIE MAES"" Rating: n/a",Restaurant,1950 Hemphill St,76110,1,07/15/2015,97
FLOYDS BBQ,"Average ""FLOYDS BBQ"" Rating: n/a",Restaurant,1900 S Edgewood Ter,76105,5,11/05/2015,83
FLYING CARPET THE,"Average ""FLYING CARPET THE"" Rating: n/a",Restaurant,1223 Washington Ave,76104,5,01/26/2016,93
FLYING FISH,"Average ""FLYING FISH"" Rating: n/a",Restaurant,2913 Montgomery St,76107,6,11/03/2015,80
FLYING SAUCER,"Average ""Flying Saucer"" Rating: n/a",Restaurant,111 E 3rd St,76102,8,01/28/2016,88
FOCH LOUNGE,"Average ""FOCH LOUNGE"" Rating: n/a",Lounge,941 Foch St,76107,2,03/30/2015,87
FOOD CITY,"Average ""FOOD CITY"" Rating: n/a",Deli -- Retail,1200 E Long Ave,76106,12,01/07/2016,88
FOOD LAND MARKETS #52,"Average ""FOOD LAND MARKETS #52"" Rating: n/a",Meat Market -- Retail,1212 S Ayers Ave,76105,7,09/10/2015,77
FOOD STORE,"Average ""FOOD STORE"" Rating: n/a",Restaurant,1705 Nw 28th St,76106,5,02/11/2016,83
FOREST PARK MEDICAL CENTER,"Average ""FOREST PARK MEDICAL CENTER"" Rating: n/a",Restaurant,5400 Clearfork Main St,76107,10,01/06/2016,84
FOREVER FIT NUTRITION,"Average ""FOREVER FIT NUTRITION"" Rating: n/a",Snack Bar,3318 E Lancaster Ave,76104,1,02/06/2015,100
FORT WORTH ACADEMY,"Average ""FORT WORTH ACADEMY"" Rating: n/a",Snack Bar,7301 Dutch Branch Rd,76131,4,12/07/2015,100
FORT WORTH ACADEMY OF FINE ARTS,"Average ""FORT WORTH ACADEMY OF FINE ARTS"" Rating: n/a",Restaurant,3901 S Hulen St,76109,4,01/20/2016,94
FORT WORTH CAN ACADEMY,"Average ""FORT WORTH CAN ACADEMY"" Rating: n/a",Snack Bar,4301 Campus Dr,76119,4,01/27/2016,97
FORT WORTH CLUB,"Average ""FORT WORTH CLUB"" Rating: n/a",Restaurant,306 W 7th St,76102,11,10/28/2015,100
FORT WORTH CONVENTION CENTER,"Average ""FORT WORTH CONVENTION CENTER"" Rating: n/a",Restaurant,1111 Houston St,76102,21,08/15/2015,94
FORT WORTH DONUT,"Average ""FORT WORTH DONUT"" Rating: n/a",Bakery -- Retail,1612 South Freeway,76104,3,12/24/2015,94
FORT WORTH FAIRFIELD INN & SUITES,"Average ""FORT WORTH FAIRFIELD INN & SUITES"" Rating: n/a",Snack Bar,1505 S University Dr,76107,2,02/14/2015,91
FORT WORTH GROCERIES,"Average ""FORT WORTH GROCERIES"" Rating: n/a",Grocery Store -- Retail,1249 Woodhaven Blvd,76112,1,01/22/2015,96
FORT WORTH GUYS AND DOLLS,"Average ""FORT WORTH GUYS AND DOLLS"" Rating: n/a",Snack Bar,813 Southway Cir,76115,4,09/30/2015,97
FORT WORTH HAMPTON INN,"Average ""FORT WORTH HAMPTON INN"" Rating: n/a",Snack Bar,4799 Sw Loop 820,76132,1,09/24/2015,90
FORT WORTH HOPE CENTER,"Average ""FORT WORTH HOPE CENTER"" Rating: n/a",Grocery Store -- Retail,3625 E Loop 820 S,76119,2,02/26/2015,100
FORT WORTH MARKET & TABLE,"Average ""FORT WORTH MARKET & TABLE"" Rating: n/a",Restaurant,2933 Crockett St,76107,7,10/16/2015,100
FORT WORTH SEAFOOD,"Average ""FORT WORTH SEAFOOD"" Rating: n/a",Fish Market -- Retail,4158 E Rosedale St,76105,10,02/11/2016,93
FORT WORTH SOUTH HOTEL,"Average ""FORT WORTH SOUTH HOTEL"" Rating: n/a",Restaurant,100 E Altamesa Blvd,76134,8,01/15/2016,78
FORTUNA ITALIAN RESTAURANT & PIZZA,"Average ""FORTUNA ITALIAN RESTAURANT & PIZZA"" Rating: n/a",Restaurant,5837 Camp Bowie Blvd,76107,6,02/03/2016,81
FOSSIL CREEK COMMUNITY CHURCH,"Average ""FOSSIL CREEK COMMUNITY CHURCH"" Rating: n/a",Child Care Kitchen,6700 N Riverside Dr,76137,3,09/16/2015,100
FOSSIL CREEK COURTYARD,"Average ""FOSSIL CREEK COURTYARD"" Rating: n/a",Restaurant,3751 Ne Loop 820,76137,5,09/22/2015,89
FOSSIL CREEK GOLF CLUB,"Average ""FOSSIL CREEK GOLF CLUB"" Rating: n/a",Restaurant,3401 Clubgate Dr,76137,9,12/10/2015,82
FOUR DAY WEEKEND,"Average ""FOUR DAY WEEKEND"" Rating: n/a",Lounge,312 Houston St,76102,2,06/13/2015,97
FOUR DEUCES BULL RING,"Average ""FOUR DEUCES BULL RING"" Rating: n/a",Snack Bar,112 E Exchange Ave,76106,2,04/30/2015,94
FOUR STAR CITGO,"Average ""FOUR STAR CITGO"" Rating: n/a",Grocery Store -- Retail,1325 N Beach St,76111,2,09/29/2015,83
FOUR STAR COFFEE BAR,"Average ""FOUR STAR COFFEE BAR"" Rating: n/a",Snack Bar,815 Houston St,76102,7,02/05/2016,83
FOX & HOUND ENGLISH PUB & GRILL,"Average ""FOX & HOUND ENGLISH PUB & GRILL"" Rating: n/a",Restaurant,6051 Sw Loop 820,76132,8,01/06/2016,92
FRANKIES FOOD MART,"Average ""FRANKIES FOOD MART"" Rating: n/a",Grocery Store -- Retail,5124 James Ave,76115,1,02/20/2015,96
FRANKIES SPORTS BAR & GRILL,"Average ""FRANKIES SPORTS BAR & GRILL"" Rating: n/a",Restaurant,425 W 3rd St,76102,6,10/14/2015,82
FRANKOS MARKET,"Average ""FRANKOS MARKET"" Rating: 3.0",Grocery Store -- Retail,2622 Azle Ave,76106,4,02/04/2016,96
FREDS CATERING,"Average ""FREDS CATERING"" Rating: n/a",Restaurant,6001 River Oaks Blvd,76114,2,01/22/2016,94
FREDS TEXAS CAFE,"Average ""FREDS TEXAS CAFE"" Rating: n/a",Restaurant,915 Currie St,76107,11,01/06/2016,90
FREDS TEXAS NORTH,"Average ""FREDS TEXAS NORTH"" Rating: n/a",Restaurant,2730 Western Center Blvd,76131,4,10/20/2015,85
FREDS TEXAS TCU,"Average ""FREDS TEXAS TCU"" Rating: n/a",Restaurant,3505 Blue Bonnet Cir,76109,10,02/11/2016,89
FREEBIRDS WORLD BURRITO,"Average ""FREEBIRDS WORLD BURRITO"" Rating: n/a",Restaurant,9501 Sage Meadow Trl,76117,6,11/03/2015,91
FREEBIRDS WORLD BURRITO,"Average ""FREEBIRDS WORLD BURRITO"" Rating: n/a",Restaurant,4965 Overton Ridge Blvd,76132,6,01/07/2016,86
FREEBIRDS WORLD BURRITO,"Average ""FREEBIRDS WORLD BURRITO"" Rating: n/a",Restaurant,2736 W 7th St,76107,7,01/08/2016,97
FRESH FROM THE OVEN,"Average ""FRESH FROM THE OVEN"" Rating: n/a",Restaurant,6000 Western Pl,76107,4,01/20/2016,78
FRESH MARKET,"Average ""FRESH MARKET"" Rating: n/a",Grocery Store -- Retail,1751 River Run,76107,9,12/10/2015,92
FRUITEALICIOUS,"Average ""FRUITEALICIOUS"" Rating: n/a",Snack Bar,3043 Greene Ave,76109,2,09/23/2015,87
FRUTERIA CANO,"Average ""FRUTERIA CANO"" Rating: n/a",Snack Bar,1000 N Sylvania Ave,76111,4,11/16/2015,100
FRUTI FRESA,"Average ""FRUTI FRESA"" Rating: n/a",Snack Bar,4200 South Freeway,76115,5,08/20/2015,93
FTW MUSEUM OF SCIENCE & HISTORY,"Average ""FTW MUSEUM OF SCIENCE & HISTORY"" Rating: n/a",Snack Bar,1600 Gendy St,76107,2,10/12/2015,100
FUDDRUCKERS,"Average ""FUDDRUCKERS"" Rating: n/a",Restaurant,5601 Sw Loop 820,76132,6,12/07/2015,84
FUELING STATION AT TCU THE,"Average ""FUELING STATION AT TCU THE"" Rating: n/a",Snack Bar,3500 Bellaire Dr N,76109,2,12/11/2015,100
FULHAM,"Average ""FULHAM"" Rating: n/a",Snack Bar,4205 Benbrook Highway,76116,2,09/03/2015,83
FULLER HEADSTART,"Average ""FULLER HEADSTART"" Rating: n/a",Child Care Kitchen,800 W Fuller Ave,76115,4,11/30/2015,100
FUN & FOOD,"Average ""FUN & FOOD"" Rating: n/a",Grocery Store -- Retail,4113 Miller Ave,76119,2,08/11/2015,94
FUN ON THE RUN,"Average ""FUN ON THE RUN"" Rating: n/a",Snack Bar,2621 Roberts Cut Off Rd,76114,2,02/11/2016,97
FUNSIZE DELIGHTS INC,"Average ""FUNSIZE DELIGHTS INC"" Rating: n/a",Snack Bar,2550 Green Oaks Rd,76116,2,02/21/2015,79
FURRS CAFETERIA #191,"Average ""FURRS CAFETERIA #191"" Rating: n/a",Restaurant,3233 Alta Mere Dr,76116,5,11/10/2015,76
FUZZYS TACO SHOP,"Average ""FUZZYS TACO SHOP"" Rating: n/a",Restaurant,5724 Bryant Irvin Rd,76132,6,12/15/2015,83
FUZZYS TACO SHOP,"Average ""FUZZYS TACO SHOP"" Rating: n/a",Restaurant,2917 W Berry St,76109,6,12/02/2015,91
FUZZYS TACO SHOP,"Average ""FUZZYS TACO SHOP"" Rating: n/a",Restaurant,2719 Race St,76111,7,11/04/2015,96
FUZZYS TACO SHOP,"Average ""FUZZYS TACO SHOP"" Rating: n/a",Restaurant,6353 Camp Bowie Blvd,76116,6,11/03/2015,92
FUZZYS TACO SHOP,"Average ""FUZZYS TACO SHOP"" Rating: n/a",Restaurant,9180 North Freeway,76177,7,11/12/2015,87
FUZZYS TACO SHOP - INFIELD #8,"Average ""FUZZYS TACO SHOP - INFIELD #8"" Rating: n/a",Restaurant,3601 Highway 114,76177,6,11/05/2015,92
FW FOOD PARK CANTINA,"Average ""FW FOOD PARK CANTINA"" Rating: n/a",Lounge,2509 Weisenberger St,76107,2,07/25/2015,96
FW ZOO,"Average ""FW ZOO"" Rating: n/a",Snack Bar,1989 Colonial Pkwy,76110,10,01/08/2016,100
FW ZOO-ASIAN FALLS CONCESSIONS,"Average ""FW ZOO-ASIAN FALLS CONCESSIONS"" Rating: n/a",Snack Bar,1989 Colonial Pkwy,76110,2,01/08/2016,100
FW ZOO-SAFARI/MONKEY BUSINESS,"Average ""FW ZOO-SAFARI/MONKEY BUSINESS"" Rating: n/a",Snack Bar,1989 Colonial Pkwy,76110,2,01/08/2016,100
FW ZOO-ZOO CREEK CAFE/GRANDYS,"Average ""FW ZOO-ZOO CREEK CAFE/GRANDYS"" Rating: n/a",Restaurant,1989 Colonial Pkwy,76110,4,12/22/2015,100
GALLIGASKINS,"Average ""GALLIGASKINS"" Rating: n/a",Deli -- Retail,5817 Camp Bowie Blvd,76107,6,11/10/2015,79
GARDEN TERRACE,"Average ""GARDEN TERRACE"" Rating: n/a",Restaurant,7500 Oakmont Blvd,76132,4,11/02/2015,100
GARDENS REST & CATERING,"Average ""GARDENS REST & CATERING"" Rating: n/a",Restaurant,3220 Rock Springs Rd,76107,6,01/21/2016,89
GATEWAY 2000,"Average ""GATEWAY 2000"" Rating: n/a",Snack Bar,1000 Ne Loop 820,76106,5,07/11/2015,96
GATEWAY PARK CONCESSIONS,"Average ""GATEWAY PARK CONCESSIONS"" Rating: 2.8",Restaurant,751 Beach St,76111,2,09/30/2015,100
GAYLEES BAR AND GRILL,"Average ""GAYLEES BAR AND GRILL"" Rating: n/a",Lounge,1212 S Riverside Dr,76104,2,06/01/2015,80
GENERAL STORE THE,"Average ""GENERAL STORE THE"" Rating: n/a",Snack Bar,101 W Exchange Ave,76164,2,06/13/2015,100
GENGHIS GRILL,"Average ""GENGHIS GRILL"" Rating: n/a",Restaurant,3530 Nw Centre Dr,76135,6,11/18/2015,88
GENGHIS GRILL,"Average ""GENGHIS GRILL"" Rating: n/a",Restaurant,4469 Bryant Irvin Rd,76132,8,11/11/2015,76
GENGHIS GRILL,"Average ""GENGHIS GRILL"" Rating: n/a",Restaurant,6600 North Freeway,76137,6,10/19/2015,86
GIA PHU CHINESE & VIETNAMESE REST,"Average ""GIA PHU CHINESE & VIETNAMESE REST"" Rating: n/a",Restaurant,913 E Berry St,76110,9,02/03/2016,79
GINGER MAN,"Average ""GINGER MAN"" Rating: n/a",Lounge,3716 Camp Bowie Blvd,76107,6,09/22/2015,100
GIOVANNIS ITALIAN KITCHEN,"Average ""GIOVANNIS ITALIAN KITCHEN"" Rating: n/a",Restaurant,5733 Crowley Rd,76134,6,12/04/2015,91
GLAD MART,"Average ""GLAD MART"" Rating: n/a",Grocery Store -- Retail,4400 Southwest Blvd,76116,1,02/02/2015,97
GLORIAS RESTAURANT,"Average ""GLORIAS RESTAURANT"" Rating: n/a",Restaurant,2600 W 7th St,76107,8,01/11/2016,89
GO GO PANDA,"Average ""Go Go Panda"" Rating: n/a",Restaurant,2201 W Seminary Dr,76115,6,10/15/2015,86
GODDARD SCHOOL THE,"Average ""GODDARD SCHOOL THE"" Rating: n/a",Child Care Kitchen,8801 Ray White Rd,76248,3,11/20/2015,100
GODIVA CHOCOLATIER INC,"Average ""GODIVA CHOCOLATIER INC"" Rating: n/a",Snack Bar,4800 S Hulen St,76132,2,08/21/2015,94
GOLDEN CHICK,"Average ""GOLDEN CHICK"" Rating: n/a",Restaurant,14201 Trinity Blvd,76155,3,11/18/2015,87
GOLDEN CHICK,"Average ""GOLDEN CHICK"" Rating: n/a",Restaurant,3409 N Tarrant Pkwy,76177,3,01/12/2016,87
GOLDEN CHICK GOLDEN TRIANGLE,"Average ""GOLDEN CHICK GOLDEN TRIANGLE"" Rating: n/a",Restaurant,4440 Golden Triangle Blvd,76244,4,12/28/2015,93
GOLDEN CORRAL,"Average ""GOLDEN CORRAL"" Rating: n/a",Restaurant,3517 Alta Mere Dr,76116,10,01/25/2016,100
GOLDEN MINI MART,"Average ""GOLDEN MINI MART"" Rating: n/a",Grocery Store -- Retail,928 E Berry St,76110,2,09/29/2015,93
GOOD LIFE SENIOR CARE,"Average ""GOOD LIFE SENIOR CARE"" Rating: n/a",Restaurant,812 W Morphy St,76104,8,01/04/2016,96
GOOD SHEPHERD CHRISTIAN ACADEMY,"Average ""GOOD SHEPHERD CHRISTIAN ACADEMY"" Rating: n/a",Child Care Kitchen,5625 Good Shepherd Way,76119,4,10/26/2015,90
GORDON GROCERY,"Average ""GORDON GROCERY"" Rating: n/a",Grocery Store -- Retail,3459 Gordon Ave,76110,2,12/28/2015,86
GOSHEN MARKET,"Average ""GOSHEN MARKET"" Rating: n/a",Grocery Store -- Retail,3349 Western Center Blvd,76137,2,06/06/2015,86
GPS DESTINY LEARNING CENTER,"Average ""GPS DESTINY LEARNING CENTER"" Rating: n/a",Child Care Kitchen,7383 S Hulen St,76133,4,12/10/2015,97
GRAB N GO,"Average ""GRAB N GO"" Rating: n/a",Grocery Store -- Retail,4801 Miller Ave,76119,2,06/13/2015,92
GRACE DONUTS,"Average ""GRACE DONUTS"" Rating: n/a",Bakery -- Retail,1146 E Seminary Dr,76115,3,07/30/2015,93
GRACE RESTAURANT,"Average ""GRACE RESTAURANT"" Rating: n/a",Restaurant,777 Main St,76102,5,10/28/2015,93
GRAND BUFFET,"Average ""GRAND BUFFET"" Rating: n/a",Restaurant,4421 South Freeway,76115,5,10/06/2015,77
